"Table 10.  Accidents, Fatalities, and Rates, 1995 through 2014,",,,,,,,,,
U.S. General Aviation,,,,,,,,,
,,,,,,,,,
, Accidents ,, Fatalities ,,," Accidents 
per 100,000 
Flight Hours ",,,
Year,All,Fatal,Total,Aboard, Flight Hours , All , Fatal ,,
1975,3995,633,1252,1231," 28,799,000 ",13.87,2.19,,
1976,4018,658,1216,1203," 30,476,000 ",13.17,2.16,,
1977,4079,661,1276,1265," 31,578,000 ",12.91,2.09,,
1978,4216,719,1556,1398," 34,887,000 ",12.08,2.06,,
1979,3818,631,1221,1203," 38,641,000 ",9.88,1.63,,
1980,3590,618,1239,1230," 36,402,000 ",9.86,1.69,,
1981,3500,654,1282,1261," 36,803,000 ",9.51,1.78,,
1982," 3,233 ",591,1187,1171," 29,640,000 ",10.82,1.96,,
1983," 3,075 ", 555 ," 1,068 "," 1,061 "," 28,673,000 ",10.67,1.92,,
1984," 3,017 ", 545 ," 1,042 "," 1,021 "," 29,099,000 ",10.28,1.84,,
1985," 2,739 ", 498 , 956 , 945 ," 28,322,000 ",9.63,1.74,,
1986," 2,581 ", 474 , 967 , 879 ," 27,073,000 ",9.49,1.73,,
1987," 2,494 ", 446 , 837 , 822 ," 26,972,000 ",9.18,1.63,,
1988," 2,388 ", 460 , 797 , 792 ," 27,446,000 ",8.65,1.66,,
1989," 2,242 ", 432 , 769 , 766 ," 27,920,000 ",7.97,1.52,,
1990," 2,242 ", 444 , 770 , 765 ," 28,510,000 ",7.85,1.55,,
1991," 2,197 ", 439 , 800 , 786 ," 27,678,000 ",7.91,1.57,,
1992," 2,110 ", 450 , 866 , 864 ," 24,780,000 ",8.51,1.81,,
1993," 2,064 ", 401 , 744 , 740 ," 22,796,000 ",9.03,1.74,,
1994," 2,021 ", 404 , 730 , 723 ," 22,235,000 ",9.08,1.81,,
1995,"2,056",412,734,727," 24,906,000 ",8.21,1.63,,
1996,"1,908",361,636,619," 24,881,000 ",7.65,1.45,,
1997,"1,840",350,631,625," 25,591,000 ",7.17,1.36,,
1998,"1,902",364,624,618," 25,518,000 ",7.43,1.41,,
1999,"1,905",340,621,615," 29,246,000 ",6.50,1.16,,
2000,"1,837",345,596,585," 27,838,000 ",6.57,1.21,,
2001,"1,727",325,562,558," 25,431,000 ",6.78,1.27,,
2002,"1,716",345,581,575," 25,545,000 ",6.69,1.33,,
2003,"1,741",352,633,630," 25,998,000 ",6.68,1.34,,
2004,"1,619",314,559,559," 24,888,000 ",6.49,1.26,,
2005,"1,671",321,563,558," 23,168,000 ",7.20,1.38,,
2006,"1,523",308,706,547," 23,963,000 ",6.35,1.28,,
2007,"1,654",288,496,491," 23,819,000 ",6.94,1.20,,
2008,"1,568",277,496,487," 22,805,000 ",6.87,1.21,,
2009,"1,480",275,479,470," 20,862,000 ",7.08,1.32,,
2010,"1,440",271,458,455," 21,688,000 ",6.63,1.24,,
2011,"1,470",269,452,441, - ,-,-,,
2012,"1,470",272,437,437," 20,881,000 ",7.04,1.30,,
2013,"1,224",222,391,386," 19,492,000 ",6.26,1.12,,
2014,"1,221",253,419,410," 18,103,000 ",6.74,1.40,,
,,,,,,,,,
      Notes,,2014 data are preliminary.  ,,,,,,,
,,,,,,,,,
,,Flight hours are estimated by the Federal Aviation Administration.  Miles flown and departure,,,,,,,
,,"    information for general aviation operations is not available. Also, note that the 2011 ",,,,,,,
,,    estimates are not currently available. The FAA is engaged in re-calibration efforts.,,,,,,,
,,,,,,,,,
,,"Suicide, sabotage and stolen/unauthorized aircraft cases, included in ""Accidents"" and ""Fatalities""",,,,,,,
,,"     but excluded from accident rates in this table are: 1995 (10 acc., 6 fatal acc.); ",,,,,,,
,,"    1996 (4, 0); 1997 (5, 2); 1998 (6, 4); 1999 (3, 1); 2000 (7, 7); 2001 (3, 1); 2002 (7, 6);",,,,,,,
,,"    2003 (4, 3); 2004 (3, 0); 2005 (2, 1); 2006 (2, 1); 2007 (2, 2); 2008(2, 0); 2009 (3, 0);",,,,,,,
,,"    2010 (3, 2); 2011 (1, 0); 2012 (1, 1); 2013 (3, 3); 2014 (0, 0)",,,,,,,
,,,,,,,,,
,,The 706 total fatalities in 2006 includes the 154 persons killed aboard a foreign registered,,,,,,,
,,     Boeing 737 aircraft operated by Gol Airlines when it collided with an Embraer Legacy 600,,,,,,,
,,     business jet over the Brazilian Amazon jungle. ,,,,,,,
,,,,,,,,,
,,49 CFR Part 830.1 pertains to accidents that involve civil aircraft and certain public aircraft of the  ,,,,,,,
,,"     United States “wherever they occur.”  For the year 2014, the total number of accidents includes ",,,,,,,
,,"     23 U.S. registered (N-numbered) aircraft accidents that occurred outside the United States, its ",,,,,,,
,,"     territories, or its possessions.",,,,,,,
